# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	859
#@/user_id	c8cff22b-621e-43b6-ade8-64bc31e833a6
a 	啊	c=5 d=0.632651 t=859
xiu gai 	修改	c=2 d=1.15335 t=764
xiu gai 	修蓋	c=2 d=0.592941 t=859
xu yao 	需要	c=5 d=1.92568 t=859
xuan ran 	渲染	c=1 d=1 t=813
xue xi 	學習	c=1 d=1 t=464
xun jian 	巡檢	c=3 d=2.07887 t=859
yan jiu 	研究	c=1 d=1 t=655
yan zheng 	驗證	c=1 d=0.429557 t=859
yan zhong 	眼中	c=1 d=0.348192 t=859
yao bu shi 	要不是	c=2 d=0.880874 t=859
ye ba 	也罷	c=1 d=0.650509 t=859
ye hao 	也好	c=1 d=0.644036 t=859
ye jue de 	也覺得	c=1 d=0.687289 t=859
yi 	以	c=2 d=0.609982 t=859
yi bu 	一步	c=0 d=0.1 t=455
yi bu zou 	一步走	c=1 d=1 t=456
yi ci 	一次	c=2 d=0.908826 t=859
yi ci de 	一次的	c=1 d=0.360595 t=859
yi dong 	移動	c=1 d=1 t=758
yi fen 	一份	c=2 d=0.273898 t=859
yi ge 	一個	c=2 d=0.729789 t=859
yi gong 	一共	c=1 d=0.421052 t=859
yi jin qu 	一進去	c=1 d=0.240508 t=859
yi jing 	已經	c=0 d=0.1 t=456
yi jing zuo hao 	已經做好	c=1 d=0.701173 t=859
yi kan 	一看	c=1 d=0.744532 t=859
yi lai 	以來	c=1 d=1 t=675
yi lai 	依賴	c=2 d=1.625 t=772
yi qi 	一起	c=0 d=0.0181772 t=859
yi qi da 	一起打	c=1 d=0.182684 t=859
yi shi 	意識	c=1 d=0.514274 t=859
yi wei 	以爲	c=4 d=1.81435 t=859
yi xia 	一下	c=1 d=1.08025 t=433
yi xie 	一些	c=3 d=0.959378 t=859
yi zhi 	一直	c=2 d=0.562668 t=859
yi zui 	一嘴	c=1 d=0.67368 t=859
yin wei 	因爲	c=2 d=0.83527 t=859
yin yue 	音樂	c=1 d=1 t=833
ying bian ma 	硬編碼	c=0 d=0.1 t=780
ying wen 	英文	c=10 d=5.61071 t=859
yong 	用	c=1 d=1 t=468
yong bu 	用不	c=1 d=1 t=719
yong de 	用的	c=2 d=1.42528 t=801
you 	有	c=1 d=1 t=691
you ce 	右側	c=1 d=1 t=609
you hua 	優化	c=1 d=0.873716 t=859
you ren 	有人	c=1 d=0.453845 t=859
you shi 	優勢	c=1 d=0.371577 t=859
yu 	與	c=2 d=0.373439 t=859
yu lan 	預覽	c=2 d=2.07424 t=582
yu zhuang 	預裝	c=1 d=1 t=787
yuan duan 	遠端	c=3 d=2.9361 t=783
yuan ma 	源碼	c=1 d=1 t=440
yuan yin 	原因	c=1 d=0.843665 t=859
yuan you 	原有	c=1 d=1 t=566
yue du 	月度	c=1 d=0.204229 t=859
yue du 	閱讀	c=3 d=2.76003 t=586
yue du zhi xing 	月度之星	c=1 d=0.798516 t=859
yun xing 	運行	c=1 d=0.926763 t=859
yun xing beng kui 	運行崩潰	c=1 d=0.444858 t=859
zai 	在	c=6 d=1.10677 t=859
zai bao liu 	在保留	c=1 d=1 t=569
zai hui 	再會	c=1 d=0.167797 t=859
zai jian 	再見	c=1 d=0.16696 t=859
zai ti gong 	在提供	c=1 d=1 t=516
zai xian 	在線	c=1 d=0.324652 t=859
zan shi 	暫時	c=1 d=1 t=629
zen me 	怎麼	c=1 d=0.262165 t=859
zen me xiu gai 	怎麼修蓋	c=1 d=0.99005 t=859
zeng jia 	增加	c=1 d=0.902519 t=618
zeng jia ai 	增加愛	c=1 d=1 t=619
zeng shan 	增刪	c=1 d=1 t=643
zhan tie 	粘貼	c=2 d=1.16864 t=762
zhe 	着	c=1 d=0.606531 t=859
zhe die 	折疊	c=1 d=1 t=807
zhe ge 	這個	c=3 d=1.45194 t=859
